id;name;login;email;active_partner;partner_id/id;partner_id/name;lang;password;internal;groups_id/id;groups_id/name;;
user_demo_comp_cct_10000001;Ronya Liljedahl usr ;OTCKV;ronya.liljedahl@hk.se;TRUE;demo_comp_cct_10000001;Contact;sv_SE;IQQ60XLH7VK;TRUE;;;;
user_demo_comp_cct_10000002;Sten Tuvesson usr ;JUFFQ;gerda.selberg@hk.se;TRUE;demo_comp_cct_10000002;Contact;sv_SE;HFX16NUL3YP;TRUE;;;;
user_demo_comp_cct_10000003;Ronald Karlström usr ;NYIWG;amelie.malmkvist@hk.se;TRUE;demo_comp_cct_10000003;Contact;sv_SE;ZFR80EOS6FU;TRUE;;;;
user_demo_comp_cct_10000004;Jacob Nordin usr ;IBZJE;vilhelm.bladh@hk.se;TRUE;demo_comp_cct_10000004;Contact;sv_SE;XOY21MJH2CI;TRUE;;;;
user_demo_comp_cct_10000005;Mira Edvardsson usr ;KKXEV;emily.nygren@hk.se;TRUE;demo_comp_cct_10000005;Contact;sv_SE;BXX59OJO3EM;TRUE;;;;
user_demo_comp_cct_10000006;Anselm Björnberg usr ;HVFCA;athena.hellstrand@hk.se;TRUE;demo_comp_cct_10000006;Contact;sv_SE;WQW55OVR3UF;TRUE;;;;
user_demo_comp_cct_10000007;Niclas Hedqvist usr ;FDPAJ;anastasija.niemi@hk.se;TRUE;demo_comp_cct_10000007;Contact;sv_SE;KWH39TIO1YN;TRUE;;;;
user_demo_comp_cct_10000008;Grace Bark usr ;AYQGJ;dominic.rosberg@hk.se;TRUE;demo_comp_cct_10000008;Contact;sv_SE;NPC70XFS6UZ;TRUE;;;;
user_demo_comp_cct_10000009;Gloria Fransson usr ;ISRFY;edmund.sigfridsson@hk.se;TRUE;demo_comp_cct_10000009;Contact;sv_SE;EKK36EVR1SO;TRUE;;;;
user_demo_comp_cct_10000010;Veronica Back usr ;CSXAK;amanda.bjorn@hk.se;TRUE;demo_comp_cct_10000010;Contact;sv_SE;XYI13VGW7FB;TRUE;;;;
user_demo_comp_cct_10000011;Gry Brodin usr ;DQXUJ;linnea.gronqvist@hk.se;TRUE;demo_comp_cct_10000011;Contact;sv_SE;IFC54DVV8HZ;TRUE;;;;
user_demo_comp_cct_10000012;Therése Lindén usr ;SZHWD;eliza.brodin@hk.se;TRUE;demo_comp_cct_10000012;Contact;sv_SE;YAY88NNX6SU;TRUE;;;;
user_demo_comp_cct_10000013;Kira Ryd usr ;WMAQQ;christian.mattsson@hk.se;TRUE;demo_comp_cct_10000013;Contact;sv_SE;YGK63NOP0ZL;TRUE;;;;
user_demo_comp_cct_10000014;Karla Sjöholm usr ;KNMME;nicklas.adolfsson@hk.se;TRUE;demo_comp_cct_10000014;Contact;sv_SE;NZI85KDP0DB;TRUE;;;;
user_demo_comp_cct_10000015;Alrik Lindkvist usr ;BYDBG;destiny.östrom@hk.se;TRUE;demo_comp_cct_10000015;Contact;sv_SE;BDL20EIH7IH;TRUE;;;;
user_demo_comp_cct_10000016;Nilla Bergendahl usr ;YEGOZ;hanin.olofsson@hk.se;TRUE;demo_comp_cct_10000016;Contact;sv_SE;GZW79CMS6BP;TRUE;;;;
user_demo_comp_cct_10000017;Albina Ek usr ;NWMVB;mariam.ahlqvist@hk.se;TRUE;demo_comp_cct_10000017;Contact;sv_SE;JOZ29QAT6EY;TRUE;;;;
user_demo_comp_cct_10000018;Rebecca Broman usr ;UOLXI;conny.hagman@hk.se;TRUE;demo_comp_cct_10000018;Contact;sv_SE;COB13BOY8BN;TRUE;;;;
user_demo_comp_cct_10000019;Norea Hed usr ;VWQOD;tuva-li.hakansson@woodybygghandel.se;TRUE;demo_comp_cct_10000019;Contact;sv_SE;ZOB36VHJ9QV;TRUE;;;;
user_demo_comp_cct_10000020;Gerda Selberg usr ;PAIDG;jenna.konradsson@woodybygghandel.se;TRUE;demo_comp_cct_10000020;Contact;sv_SE;HPA28BNH6QJ;TRUE;;;;
user_demo_comp_cct_10000021;Amelie Malmkvist;WBRRU;;TRUE;demo_comp_cct_10000021;Contact;sv_SE;VBL96JWQ2RZ;TRUE;;;;
user_demo_comp_cct_10000022;Vilhelm Bladh;DJVJZ;titus.boberg@woodybygghandel.se;TRUE;demo_comp_cct_10000022;Contact;sv_SE;PCA03TNC7EA;TRUE;;;;
user_demo_comp_cct_10000023;Emily Nygren;PXGDX;;TRUE;demo_comp_cct_10000023;Contact;sv_SE;HBP74VSM6NU;TRUE;;;;
user_demo_comp_cct_10000024;Athena Hellstrand;JKFBY;erica.sollerdahl@metsosweden.se;TRUE;demo_comp_cct_10000024;Contact;sv_SE;QNQ11NAH2NX;TRUE;;;;
user_demo_comp_cct_10000025;Anastasija Niemi;SHTGU;seved.frojd@metsosweden.se;TRUE;demo_comp_cct_10000025;Contact;sv_SE;FLE87WUF6BI;TRUE;;;;
user_demo_comp_cct_10000026;Dominic Rosberg;DIVKM;;TRUE;demo_comp_cct_10000026;Contact;sv_SE;VSI73HGW9ZD;TRUE;;;;
user_demo_comp_cct_10000027;Edmund Sigfridsson;SUGQL;;TRUE;demo_comp_cct_10000027;Contact;sv_SE;SVP46FRN0WN;TRUE;;;;
user_demo_comp_cct_10000028;Amanda Björn;ZHACA;;TRUE;demo_comp_cct_10000028;Contact;sv_SE;HJN21PWF1LM;TRUE;;;;
user_demo_comp_cct_10000029;Linnea Grönqvist;TCNEO;emanuel.lindman@kinnevik.se;TRUE;demo_comp_cct_10000029;Contact;sv_SE;BLY83UJT5QL;TRUE;;;;
user_demo_comp_cct_10000030;Eliza Brodin;WFJOA;;TRUE;demo_comp_cct_10000030;Contact;sv_SE;EFB62WEJ9FY;TRUE;;;;
user_demo_comp_cct_10000031;Christian Mattsson;YXJEX;;TRUE;demo_comp_cct_10000031;Contact;sv_SE;TNT94GXY1OT;TRUE;;;;
user_demo_comp_cct_10000032;Nicklas Adolfsson;QPRWB;estelle.ring@dentsplyih.se;TRUE;demo_comp_cct_10000032;Contact;sv_SE;VXE30GEO8RA;TRUE;;;;
user_demo_comp_cct_10000033;Destiny Öström;EHGRQ;;TRUE;demo_comp_cct_10000033;Contact;sv_SE;CGQ04OSD9FG;TRUE;;;;
user_demo_comp_cct_10000034;Hanin Olofsson;BAXTR;;TRUE;demo_comp_cct_10000034;Contact;sv_SE;GVR98PAH4AZ;TRUE;;;;
user_demo_comp_cct_10000035;Mariam Ahlqvist;JTHFP;isabel.burstrom@storstockholmslokaltrafik.se;TRUE;demo_comp_cct_10000035;Contact;sv_SE;RQC68ZSC6NM;TRUE;;;;
user_demo_comp_cct_10000036;Conny Hågman;CSWRG;melina.backlund@storstockholmslokaltrafik.se;TRUE;demo_comp_cct_10000036;Contact;sv_SE;TEL96RVI8OB;TRUE;;;;
user_demo_comp_cct_10000037;Tuva-Li Håkansson;JFRIR;;TRUE;demo_comp_cct_10000037;Contact;sv_SE;CZT51JEP3JC;TRUE;;;;
user_demo_comp_cct_10000038;Jenna Konradsson;EYJZR;natali.sahlen@storstockholmslokaltrafik.se;TRUE;demo_comp_cct_10000038;Contact;sv_SE;ZHM55ORD0AL;TRUE;;;;
user_demo_comp_cct_10000039;Zoey Björn;HGMKP;;TRUE;demo_comp_cct_10000039;Contact;sv_SE;HBW44CVA4SM;TRUE;;;;
user_demo_comp_cct_10000040;Titus Boberg;FNJJP;;TRUE;demo_comp_cct_10000040;Contact;sv_SE;VKH57VVG8QF;TRUE;;;;
user_demo_comp_cct_10000041;Nea Gran;DRDVC;;TRUE;demo_comp_cct_10000041;Contact;sv_SE;PWD60TTZ1UD;TRUE;;;;
user_demo_comp_cct_10000042;Erica Sollerdahl;RKYAP;;TRUE;demo_comp_cct_10000042;Contact;sv_SE;MEG03FDJ7EH;TRUE;;;;
user_demo_comp_cct_10000043;Seved Fröjd;JYYCI;;TRUE;demo_comp_cct_10000043;Contact;sv_SE;DTP18FVR2BP;TRUE;;;;
user_demo_comp_cct_10000044;Pixie Wiberg;VIWSH;helga.hedin@goteborgsstadshus.se;TRUE;demo_comp_cct_10000044;Contact;sv_SE;TUU41ASO4RR;TRUE;;;;
